Charity_ID,Charity_Name,EIN,Street_Address,Telephone,Fax,Overall_Rating,Financial_Rating,Transparency_Rating,Program_Expenses,Administrative_Expenses,Fundraising_Expenses,Fundraising_Efficiency,Revenue_Growth,Expenses_Growth,Working_Capital_Ratio,Core_Service,Tagline,Website,Scraped_From
12702,DreamYard Project - NY,13-3759661,"['1085 Washington Avenue', 'Ground Floor Bronx, NY 10456']",(718) 588-8007,(718) 588-8310,82.30,88.06,78.00, 80.6%, 11.2%,  8.1%,$0.10, 10.1%, 11.1%,0.24,Education : Youth Education Programs and Services,The art of inspiring education.,http://www.dreamyard.com/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12702
9703,Dress for Success Houston - TX,76-0579697,"['3310 Eastside Street', 'Houston, TX 77098']",(713) 957-3779,,90.69,92.77,89.00, 77.2%,  9.5%, 13.2%,$0.11, 10.1%,6.27,  0.2%,Human Services : Social Services ,We are truly beyond the suit,https://houston.dressforsuccess.org/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9703
7942,Dress for Success Worldwide - NY,13-4040377,"['32 East 31st Street', 'Seventh Floor New York, NY 10016']",(646) 233-4942,(212) 684-9563,90.90,87.14,100.00, 94.7%,  0.9%,  4.2%,$0.04,  2.6%,0.29, 13.5%,Human Services : Social Services,Going places. Going strong.,http://www.dressforsuccess.org/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7942
9364,Drisha Institute for Jewish Education - NY,13-2968932,"['37 West 65th Street', 'Fifth Floor New York, NY 10023']",(212) 595-0307,(212) 595-0679,73.22,76.89,70.00, 68.9%, 28.2%,  2.7%,$0.10, 13.3%,  -3.4%,4.83,Religion : Religious Activities,deeply rigorous and honest Jewish learning,http://www.drisha.org/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9364
6230,Drug Policy Alliance - NY,52-1516692,"['131 W 33rd St', '15th Floor New York, NY 10001']",(212) 613-8020,(212) 613-8021,85.67,80.14,96.00, 76.4%, 14.7%,  8.8%,$0.17, -10.3%, 14.2%,0.33,Research and Public Policy : Social and Public Policy Research,Reason. Compassion. Justice.,http://www.drugpolicy.org/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6230
16059,Drugs for Neglected Diseases Initiative North America - NY,20-8774179,"['40 Wall Street', '24th Floor New York, NY 10005']",(646) 616-8680,,70.67,61.34,85.00, 72.2%,  5.3%, 22.3%,$0.21,  1.1%,  -7.0%,0.05,Health : Medical Research,Developing new drugs for patients suffering from the most neglected communicable diseases,http://www.dndina.org/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16059
12812,Dubuque County Historical Society - IA,42-6072050,"['350 East Third Street', 'Dubuque, IA 52001']",(800) 226-3369,,82.29,77.50,89.00, 90.6%,  6.4%,  2.9%,$0.12, -11.7%,  -0.1%,7.21,"Arts, Culture, Humanities : Museums",Where fun and learning flow together,http://www.mississippirivermuseum.com/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12812
14181,Dubuque Regional Humane Society - IA,42-6039535,"['4242 Chavenelle Road', 'Dubuque, IA 52002']",(563) 582-6766,,83.68,85.56,82.00, 80.6%,  8.9%, 10.4%,$0.06, 18.6%,  -0.5%,5.45,"Animals : Animal Rights, Welfare, and Services",Protects and promotes the well-being of all animals by fostering respect for their inherent dignity.,http://www.dbqhumane.org/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14181
3631,Ducks Unlimited - TN,13-5643799,"['One Waterfowl Way', 'Memphis, TN 38120']",(800) 453-8257,,82.43,75.49,96.00, 76.3%,  3.2%, 20.4%,$0.22,  5.6%,  5.3%,0.76,Animals : Wildlife Conservation,A world leader in wetlands conservation,http://www.ducks.org/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3631
3610,Dumb Friends League - CO,84-0405254,"['2080 South Quebec Street', 'Denver, CO 80231']",(303) 751-5772,(303) 696-0063,89.24,85.33,96.00, 79.0%,  7.7%, 13.2%,$0.17,  4.3%,  8.1%,4.37,"Animals : Animal Rights, Welfare, and Services",Speaking for those who cannot speak for themselves,http://www.ddfl.org/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3610
14735,DuPage Children's Museum - IL,36-3565001,"['301 North Washington Street', 'Naperville, IL 60540']",(630) 637-8000,,77.60,72.10,85.00, 79.8%,  8.1%, 11.9%,$0.20,  3.0%,  2.6%,0.61,"Arts, Culture, Humanities : Museums",More than a museum...a force for early learning,https://dupagechildrens.org/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14735
12278,DuPage PADS - IL,36-3675494,"['705 West Liberty Street', 'Wheaton, IL 60187']",(866) 682-3846,(630) 682-3874,90.79,86.98,100.00, 84.9%,  2.6%, 12.4%,$0.12,  7.7%,  7.3%,0.51,Human Services : Homeless Services,"When someone believes in you, everything can change.",http://dupagepads.org/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12278
8985,Durham Rescue Mission - NC,58-1482590,"['P.O. Box 11858', 'Durham, NC 27703']",(919) 688-9641,(919) 688-3117,99.41,99.17,100.00, 82.1%, 10.7%,  7.0%,$0.07, 15.9%,3.04,  1.8%,Human Services : Homeless Services ,Mending Shattered Lives Since 1974,http://www.durhamrescuemission.org/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8985
6764,Dutchess County SPCA - NY,14-1340058,"['636 Violet Avenue', 'Hyde Park, NY 12538']",(845) 452-7722,(845) 454-5347,90.84,87.69,96.00, 79.8%, 10.1%,  9.9%,$0.15,  6.5%,  5.7%,3.75,"Animals : Animal Rights, Welfare, and Services",Rescuing and providing temporary humane shelter for Dutchess County animals,http://www.dcspca.org/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6764
13958,DVIS/Call Rape - OK,73-1028332,"['4300 South Harvard Avenue', 'Tulsa, OK 74135']",(918) 508-2709,(513) 263-3756,87.45,86.08,89.00, 74.3%, 16.0%,  9.6%,$0.03, 45.6%,  -0.9%,3.76,Human Services : Social Services,"Rebuilding lives affected by domestic violence and sexual assault through advocacy, shelter, counseling, and education",http://www.dvis.org/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13958
13318,Dysautonomia Foundation - NY,13-6145280,"['315 West 39th Street', 'Suite 701 New York, NY 10018']",(212) 279-1066,(212) 279-2066,86.56,100.00,81.00, 92.2%,  4.8%,  2.8%,$0.03, 11.5%,1.41,< 0.1%,"Health : Medical Research 
      (Fundraising) 
      
 ","59 years of care, treatment, research and advocacy for the FD population",http://www.familialdysautonomia.org/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13318
6640,Dystonia Medical Research Foundation - IL,95-3378526,"['One East Wacker Drive', 'Suite 2810 Chicago, IL 60601']",(800) 377-3978,(312) 803-0138,82.75,75.61,100.00, 81.1%,  8.6%, 10.1%,$0.09,  -5.7%,  -9.7%,1.00,Health : Medical Research,Working to advance research for more treatments and ultimately find cure for dystonia,http://www.dystonia-foundation.org/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6640
11965,Dystrophic Epidermolysis Bullosa Research Association of America (debra of America) - NY,11-2519726,"['75 Broad Street', 'Suite 300 New York, NY 10004']",(212) 868-1573,(212) 868-9296,92.02,97.50,89.00, 86.7%,  4.0%,  9.2%,$0.10, 24.0%,1.48,  3.5%,"Health : Diseases, Disorders, and Disciplines ",Because the cost of doing nothing is too great,http://www.debra.org/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11965
12599,dZi Foundation - CO,84-1595852,"['565 Sherman Street', 'Suite 7 Ridgway, CO 81432']",(970) 626-9765,,88.62,84.42,96.00, 73.4%, 16.8%,  9.6%,$0.10,  4.2%,0.96,  0.3%,International : Development and Relief Services ,Working in partnership with remote communities in Nepal to create lasting improvements in their quality of life.,http://www.dzifoundation.org/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12599
12604,Dégagé Ministries - MI,38-1912094,"['144 Division Avenue South', 'Grand Rapids, MI 49503']",(616) 454-1661,(616) 459-7200,83.34,84.81,82.00, 77.2%, 15.0%,  7.6%,$0.07,  5.5%,  2.1%,1.62,Human Services : Homeless Services,"Transforming lives, restoring hope",http://www.degageministries.org/,https://web.archive.org/web/20160623014328/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12604
3758,e3 Partners Ministries - TX,16-1680978,"['2001 West Plano Parkway', 'Suite 2600 Plano, TX 75075']",(214) 440-1101,,87.48,86.13,89.00, 85.2%, 12.6%,  2.1%,$0.02,  -1.4%,0.18, 14.5%,Religion : Religious Activities,Equip. Evangelize. Establish.,http://www.e3partners.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3758
11841,Eagle Mount - MT,84-1383214,"['6901 Goldenstein Lane', 'Bozeman, MT 59715']",(406) 586-1781,(406) 586-5794,85.02,81.91,89.00, 83.4%,  7.2%,  9.3%,$0.12,  -4.8%,  5.1%,3.12,Health : Patient and Family Support,Everybody has challenges. We have adventures.,http://www.eaglemount.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11841
12722,Eagle Ranch - GA,58-1497408,"['5500 Union Church Road', 'Flowery Branch, GA 30542']",(770) 967-8500,(770) 967-3757,88.68,88.38,89.00, 77.7%, 12.1%, 10.0%,$0.09, 10.4%,  2.6%,0.93,"Human Services : Youth Development, Shelter, and Crisis Services",Home to new beginnings,http://www.eagleranch.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12722
13635,Eagles Youth Partnership - PA,23-2794290,"['NovaCare Complex', 'One NovaCare Way Philadelphia, PA 19145']",(215) 463-2500,(215) 320-5830,86.82,87.70,86.00, 80.4%, 13.1%,  6.4%,$0.07,  3.8%,  2.9%,2.95,Human Services : Social Services,To enhance opportunities and improve the quality of life for children and youth in the Greater Philadelphia region,http://www.philadelphiaeagles.com/community/eagles-youth-partnership.html,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13635
11373,"EARN, Inc.  - CA",91-2172676,"['235 Montgomery St.', 'Suite 470 San Francisco, CA 94104', 'TTY: (415) 217-3663']",(415) 217-3660,,72.28,60.80,100.00, 66.8%, 13.8%, 19.2%,$0.27, -22.3%, -16.0%,0.57,Community Development : Housing and Neighborhood Development,Big dreams start with small savings. ,http://www.earn.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11373
8833,Earth Conservation Corps - DC,52-1683270,"['1520 1 st. SE.', 'Washington, DC 20024']",(202) 479-4505,,62.81,68.35,58.00, 70.3%, 27.3%,  2.3%,$0.03, -12.5%,  -7.6%,1.47,Environment : Environmental Protection and Conservation,"Empowering our endangered youth to reclaim the Anacostia River, their communities, and their lives.",http://www.earthconservationcorps.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8833
3635,Earth Day Network - DC,13-3798288,"['1616 P Street, NW', 'Suite 340 Washington, DC 20036']",(202) 518-0044,(202) 518-8794,77.34,76.70,78.00, 82.2%,  9.5%,  8.1%,$0.10,  -9.0%,0.07, 22.7%,Environment : Environmental Protection and Conservation,Building the world's largest environmental movement ,http://www.earthday.net/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3635
10076,Earth Force - CO,52-1830873,"['PO Box 1228', 'Denver, CO 80201']",(303) 433-0016,(888) 899-5324,76.02,66.10,100.00, 85.6%,  5.4%,  8.9%,$0.10,  -7.2%, -13.8%,0.26,"Environment : Botanical Gardens, Parks, and Nature Centers",Engaging Youth. Changing Communities.,http://www.earthforce.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10076
3636,Earth Island Institute - CA,94-2889684,"['2150 Allston Way', 'Suite 460 Berkeley, CA 94704']",(510) 859-9100,(510) 859-9091,90.55,89.30,92.00, 80.8%, 10.9%,  8.1%,$0.09,  2.2%,  6.5%,0.76,Environment : Environmental Protection and Conservation,You are here,http://www.earthisland.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3636
13835,EarthEcho International - DC,95-4789334,"['2101 L Street NW', 'Suite 800 Washington, DC 20037']",(202) 350-3190,(202) 857-3977,77.58,72.08,85.00, 75.4%, 12.9%, 11.5%,$0.21, -19.2%,  3.0%,0.25,Environment : Environmental Protection and Conservation,Empowering youth to take action that protects & restores our water planet.,http://earthecho.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13835
3638,Earthjustice - CA,94-1730465,"['50 California Street', 'Suite 500 San Francisco, CA 94111']",(800) 584-6460,(415) 217-2000,92.77,90.24,97.00, 77.1%,  8.2%, 14.6%,$0.14, 11.1%,1.72, 12.0%,Environment : Environmental Protection and Conservation ,Because the earth needs a good lawyer,http://www.earthjustice.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3638
7752,Earthplace - CT,06-0740523,"['10 Woodside Lane', 'Westport, CT 06881']",(203) 557-4400,,92.70,89.68,100.00, 81.4%,  9.2%,  9.2%,$0.31,  8.0%, 11.0%,1.50,"Environment : Botanical Gardens, Parks, and Nature Centers",The Nature Discovery and Environmental Learning Center,http://www.earthplace.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7752
9314,EarthRights International - DC,04-3265555,"['1612 K Street, NW', 'Suite 401 Washington, DC 20006']",(202) 466-5188,(202) 466-5189,91.51,100.00,88.00, 86.2%,  6.7%,  6.9%,$0.09,  9.6%,2.13,  1.7%,"International : International Peace, Security, and Affairs",The power of law and the power of people in defense of human rights and the environment,http://www.earthrights.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9314
3637,EarthShare - MD,52-1601960,"['7735 Old Georgetown Road', 'Suite 900 Bethesda, MD 20814']",(800) 875-3863,(240) 333-0301,80.68,75.00,89.00, 94.1%,  3.7%,  2.0%,$0.02, -12.1%,0.04, 92.7%,Environment : Environmental Protection and Conservation,One environment . . .one simple way to care for it,http://www.earthshare.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3637
5809,EarthShare California - CA,94-2840364,"['870 Market Street', 'Suite 703 San Francisco, CA 94102']",(800) 368-1819,(415) 800-6592,78.02,68.92,100.00, 89.2%,  7.7%,  3.0%,$0.04,  -6.2%,  -7.0%,0.17,Community Development : Fundraising,One environment . . .one simple way to care for it,http://www.earthshareca.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5809
8995,EarthShare Georgia - GA,58-2022001,"['1447 Peachtree Street', 'Suite 214 Atlanta, GA 30309']",(404) 873-3173,(404) 873-3135,86.46,84.33,89.00, 90.9%,  7.0%,  2.0%,$0.02,  3.0%,  0.7%,0.19,Community Development : Fundraising,One environment. One simple way to care for it.,http://www.earthsharega.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8995
7305,EarthShare Texas - TX,74-2627643,"['6500 Tracor Lane', 'Building 27, Suite A Austin, TX 78725']",(800) 473-3689,(512) 472-4930,85.57,80.00,96.00, 94.5%,  4.7%,  0.7%,< $0.01,  -9.0%,0.69, 55.5%,"Environment : Environmental Protection and Conservation 
      (Fundraising) 
      
 ",One environment. One simple way to care for it.,http://www.earthshare-texas.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7305
3639,Earthwatch Institute - MA,23-7168440,"['114 Western Ave', 'Boston, MA 02134']",(800) 776-0188,(978) 461-2332,87.09,81.75,100.00, 82.4%, 13.5%,  4.0%,$0.04,  -6.6%,0.39, 19.8%,Research and Public Policy : Non-Medical Science & Technology Research ,Bringing science to life for people concerned about the Earth's future,http://www.earthwatch.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3639
10498,EARTHWORKS - DC,52-1557765,"['1612 K Street, NW', 'Suite 808 Washington, DC 20006']",(202) 887-1872,(202) 887-1875,91.61,88.83,96.00, 89.9%,  4.1%,  5.8%,$0.05,  3.3%,0.39, 11.6%,Environment : Environmental Protection and Conservation ,Protecting communities and the environment,http://www.earthworksaction.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10498
14460,East Bay Alliance for A Sustainable Economy - CA,94-3314108,"['1814 Franklin Street', 'Suite 325 Oakland, CA 94612']",(510) 893-7106,(510) 893-7010,81.65,76.51,89.00, 75.0%, 11.5%, 13.4%,$0.17,  -7.0%,  2.0%,1.15,Human Services : Social Services,Workers and communities building power,http://www.workingeastbay.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14460
3640,East Bay Community Foundation - CA,94-6070996,"['200 Frank Ogawa Plaza', 'Oakland, CA 94612']",(510) 836-3223,(510) 836-3287,92.33,89.16,100.00, 91.6%,  6.1%,  2.1%,$0.00, 83.3%, -16.1%,5.40,Community Development : Community Foundations,Where leadership and the power of effective giving come together,http://www.eastbaycf.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3640
4250,East Bay SPCA - CA,94-1322202,"['8323 Baldwin Street', 'Oakland, CA 94621']",(510) 569-0702,(510) 569-1608,90.86,89.14,93.00, 82.0%,  8.4%,  9.5%,$0.17, 17.1%,3.23, 28.5%,"Animals : Animal Rights, Welfare, and Services",Connecting people and pets in our community,http://www.eastbayspca.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4250
10818,East Cooper Community Outreach - SC,57-0939280,"['1145 Six Mile Road', 'Mount Pleasant, SC 29466']",(843) 849-9220,,89.60,90.24,89.00, 88.0%, 10.4%,  1.4%,$0.01,  3.5%,  5.0%,1.70,Human Services : Social Services,Helping Neighbors Help Themselves,http://eccocharleston.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10818
15555,East End House - MA,04-2104163,"['105 Spring Street', 'Cambridge, MA 02141']",(617) 876-4444,(617) 868-3616,88.30,87.65,89.00, 81.6%, 10.5%,  7.8%,$0.09,  7.0%,  4.5%,0.35,Human Services : Social Services,Inspiring Achievement. Strengthening Communities.,http://www.eastendhouse.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15555
12100,The East Harlem School at Exodus House - NY,13-3738559,"['309 East 103rd Street', 'New York NY, NY 10029']",(212) 876-8775,(212) 876-8776,89.14,96.72,85.00, 80.5%, 10.5%,  8.9%,$0.09,  3.0%,6.64,  0.7%,Education : Youth Education Programs and Services,"Helping students develop academic excellence, moral integrity, courtesy and commitment to their futures",http://www.eastharlemschool.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12100
6873,East Harlem Tutorial Program - NY,23-7439789,"['2050 Second Avenue', 'New York, NY 10029']",(212) 831-0650,(212) 289-7967,89.60,90.24,89.00, 75.1%, 10.5%, 14.2%,$0.04, 46.5%,  5.2%,4.44,Education : Other Education Programs and Services,Illuminating minds since 1958,http://www.ehtp.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6873
6297,East Lake Foundation - GA,58-2204306,"['2606 Alston Drive', 'Atlanta, GA 30317']",(404) 373-4351,(404) 373-4354,86.55,99.41,81.00, 94.1%,  2.5%,  3.3%,$0.04,112.6%, 66.0%,2.17,Community Development : Housing and Neighborhood Development,Possibility takes place.,http://www.eastlakefoundation.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6297
7652,East Side House Settlement - NY,13-1623989,"['337 Alexander Avenue', 'Bronx, NY 10454']",(718) 665-5250,(718) 585-1433,98.14,97.38,100.00, 84.6%, 11.2%,  4.0%,$0.04, 13.6%,1.77,  5.4%,Human Services : Social Services,"Providing hope, help, and results in the South Bronx",http://www.eastsidehouse.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7652
15481,East Tennessee PBS - TN,62-1173293,"['1611 East Magnolia Avenue', 'Knoxville, TN 37917']",(865) 595-0220,(865) 595-0300,93.21,94.70,92.00, 75.2%,  8.7%, 15.9%,$0.18,  2.8%,1.33,  1.8%,"Arts, Culture, Humanities : Public Broadcasting and Media","Affecting positive change by educating, entertaining and challenging minds.",http://www.easttennesseepbs.org/home/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15481
15408,East Texas Crisis Center - TX,75-1641173,"['P.O. Box 7060', 'Tyler, TX 75711']",(903) 509-2526,(903) 509-2283,81.60,81.22,82.00, 81.5%,  9.9%,  8.4%,$0.10,  -0.1%,  1.7%,2.03,Human Services : Social Services,"Providing shelter, crisis counseling and education",http://etcc.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15408
6361,East Texas Food Bank - TX,75-2222686,"['3201 Robertson Rd', 'Tyler, TX 75701']",(800) 815-3663,(903) 597-7659,95.68,93.90,100.00, 95.3%,  1.6%,  2.9%,$0.03,  6.4%,0.50,  4.5%,"Human Services : Food Banks, Food Pantries, and Food Distribution",Fighting Hunger and Feeding Hope in East Texas,http://www.easttexasfoodbank.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6361
7512,East-West Center Foundation - HI,99-0218752,"['1601 East-West Road', 'Honolulu, HI 96848']",(808) 944-7105,(808) 944-7106,83.78,79.88,89.00, 66.7%, 29.0%,  4.1%,$0.04,  5.9%,  -2.2%,4.62,"International : International Peace, Security, and Affairs",Broadening financial support for the East-West Center,http://www.eastwestcenter.org/support-the-ewc/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7512
3645,East-West Ministries International - TX,75-2486132,"['2001 West Plano Parkway', 'Suite 3000 Plano, TX 75075']",(972) 941-4500,(972) 941-4478,93.48,91.70,96.00, 79.9%, 12.1%,  7.9%,$0.08,  3.7%,0.50,  1.5%,Religion : Religious Activities,Go. Multiply.,http://www.eastwest.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3645
13468,Easter Seals Capper Foundation - KS,48-0543745,"['3500 Southwest Tenth Avenue', 'Topeka, KS 66604']",(785) 272-4060,,95.66,98.76,94.00, 87.6%,  7.7%,  4.6%,$0.02, 72.8%, 52.2%,2.60,Human Services : Social Services,"Ensuring that people with disabilities have opportunities to live, learn, work and play in their communities",http://www.easterseals.com/capper/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13468
7665,Eastern Illinois Foodbank - IL,37-1130252,"['2405 North Shore Drive', 'Urbana, IL 61802']",(217) 328-3663,(217) 328-3670,96.71,95.36,100.00, 95.5%,  1.6%,  2.8%,$0.02,  5.4%,0.51,  2.2%,"Human Services : Food Banks, Food Pantries, and Food Distribution",Alleviating hunger. Nourishing stronger communities.,http://www.eifoodbank.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7665
14608,Eastern Market Corporation - MI,32-0030432,"['2934 Russell Street', 'Detroit, MI 48207']",(313) 833-9300,(313) 833-9309,91.57,95.42,89.00, 79.2%, 15.1%,  5.6%,$0.04, 40.4%, 21.0%,1.75,Community Development : Housing and Neighborhood Development,Since 1891,http://detroiteasternmarket.com/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14608
15028,Eastern Music Festival - NC,56-0771005,"['200 North Davie Street', 'Suite 303 Greensboro, NC 27401']",(877) 833-6753,(336) 333-7454,79.43,75.08,85.00, 90.4%,  6.0%,  3.5%,$0.09,  -3.3%,  2.2%,0.02,"Arts, Culture, Humanities : Performing Arts",Experience the best,http://easternmusicfestival.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15028
12520,Eastside Baby Corner - WA,91-1617032,"['1510 Northwest Maple Street', 'Issaquah, WA 98027']",(425) 865-0234,,93.32,95.00,92.00, 94.4%,  1.7%,  3.8%,$0.03, 11.0%,0.35,  2.6%,Human Services : Children's and Family Services,Giving kids what they need to thrive.,http://babycorner.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12520
7454,Eastside College Preparatory School - CA,94-3187806,"['1041 Myrtle Street', 'East Palo Alto, CA 94303']",(650) 688-0850,(650) 688-0859,95.04,99.71,93.00, 84.0%,  8.8%,  7.0%,$0.05,  5.6%,10.64,  0.3%,Education : Youth Education Programs and Services ,"Closing the achievement gap that persists for low-income, minority students",http://www.eastside.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7454
6894,Eastside Community Ministry - OH,31-0952074,"['221 Stillwell Street', 'P.O. Box 965 Zanesville, OH 43702']",(740) 452-7519,(740) 455-9815,67.65,91.79,55.00, 91.3%,  4.1%,  4.4%,$0.05,  7.9%,  7.2%,0.80,Human Services : Homeless Services,Striving to meet the basic needs of those who come to us for assistance,http://www.eastsideministry.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6894
3869,EastWest Institute - NY,13-3091844,"['11 East 26th Street', '20th Floor New York, NY 10010']",(212) 824-4118,(212) 824-4149,84.52,78.12,100.00, 69.7%, 21.0%,  9.2%,$0.12,  -8.3%,1.24,  4.9%,"International : International Peace, Security, and Affairs ",Forging collective action for a safer and better world,http://www.eastwest.ngo/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3869
13940,Ebenezer Christian Children's Home - NC,56-1861709,"['PO Box 2777', 'North Wilkesboro, NC 28659']",(336) 667-5683,,80.82,92.30,74.00, 73.0%, 24.0%,  2.9%,$0.07, 12.1%,  9.7%,2.76,"Human Services : Youth Development, Shelter, and Crisis Services","a safe place to laugh, play and dream",http://www.ebenezerfamily.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13940
12351,Eblen Charities - NC,56-1758077,"['50 Westgate Parkway', 'Asheville, NC 28806']",(828) 255-3066,(828) 255-3775,84.09,77.50,100.00, 85.6%,  3.3%, 11.0%,$0.11,  -4.1%,0.42, 17.4%,Health : Patient and Family Support ,Assisting those in our community in times of need,http://www.eblencharities.org/,https://web.archive.org/web/20160708213018/http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12351
